,loss,accuracy,val_loss,val_accuracy
0,0.4134127199649811,0.8608379364013672,0.361368864774704,0.8926666378974915
1,0.23710626363754272,0.927176833152771,0.2843838334083557,0.9066666960716248
2,0.18252551555633545,0.9416417479515076,0.27576759457588196,0.918666660785675
3,0.1412425935268402,0.9540401697158813,0.3379504680633545,0.9179999828338623
4,0.10827814042568207,0.9636597037315369,0.40536946058273315,0.9046666622161865
5,0.08454138785600662,0.9732791781425476,0.2989479601383209,0.9233333468437195
6,0.079891636967659,0.9746330380439758,0.34310078620910645,0.9236666560173035
7,0.0771012008190155,0.9758443832397461,0.32139089703559875,0.9196666479110718
8,0.050982069224119186,0.9835399985313416,0.36560502648353577,0.9233333468437195
9,0.04201340675354004,0.9878153204917908,0.4404892921447754,0.9089999794960022
10,0.0493432842195034,0.9867464900016785,0.5946565866470337,0.9113333225250244
11,0.04840667173266411,0.9864614605903625,0.3262736201286316,0.9253333210945129
12,0.04636345058679581,0.9866752028465271,0.41768184304237366,0.9210000038146973
13,0.04029522091150284,0.9884566068649292,0.4391164183616638,0.9233333468437195
14,0.031891658902168274,0.990024209022522,0.8195286393165588,0.9100000262260437
15,0.03041752055287361,0.99209064245224,0.6509726643562317,0.887333333492279
16,0.03575090318918228,0.989881694316864,0.4183870851993561,0.9253333210945129
17,0.029173078015446663,0.9932307004928589,0.6720538139343262,0.9243333339691162
18,0.02775833010673523,0.9936582446098328,0.5318537354469299,0.9169999957084656
19,0.027148732915520668,0.9927319288253784,0.7109662294387817,0.918666660785675
